Tag Name,Address,Data Type,Description
Temperatura_PV,"RANDOM(1000, 30.0, 35.0)",Float,Temperatura da dorna (°C)
pH_PV,"RANDOM(1000, 3.0, 6.5)",Float,pH da fermentação
Pressao_PV,"RANDOM(1000, 1.0, 1.5)",Float,Pressão interna (bar)
Volume_PV,"RANDOM(1000, 500.0, 800.0)",Float,Volume da dorna (litros)
Etanol_PV,"RANDOM(1000, 5.0, 15.0)",Float,Concentração de etanol (%)
CO2_PV,"RANDOM(1000, 0.1, 0.9)",Float,Liberação de CO2 (kg/h)
Brix_PV,"RANDOM(1000, 10.0, 18.0)",Float,Concentração de açúcar (°Brix)
Temperatura_SP,"RANDOM(10000, 32.0, 32.0)",Float,Setpoint de temperatura (°C)
Etanol_SP,"RANDOM(10000, 12.0, 12.0)",Float,Meta de etanol (%)
Resfriamento_MV,"RANDOM(1000, 0, 100)",Float,Controle de resfriamento (%)
Agitador_MV,"RAMP(1000, 0, 1, 1)",Boolean,Status do agitador
Valvula_Entrada_MV,"RAMP(3000, 0, 1, 1)",Boolean,Estado da válvula de entrada
Valvula_Saida_MV,"RAMP(5000, 0, 1, 1)",Boolean,Estado da válvula de saída
Status_Fermentacao,"RAMP(7000, 0, 1, 1)",Boolean,Status da fermentação
VinhoPronto,"RAMP(15000, 0, 1, 1)",Boolean,Indica se o vinho está pronto
